Month,class,ppt (inches)_mean,tmin (degrees F)_mean,tmax (degrees F)_mean
01,Normal,0.565625,27.725,53.86875
02,Normal,1.045,28.73125,55.4
03,Normal,0.838125,34.18125,62.3625
04,Normal,0.43,38.4,68.225
05,Normal,0.283125,46.58125,77.4125
06,Normal,0.105625,55.43125,88.375
07,Normal,1.191875,63.09375,92.21875
08,Normal,1.433125,62.71875,90.69375
09,Normal,1.11125,56.7875,85.1875
10,Normal,0.41375,43.06875,73.0875
11,Normal,0.61625,34.70625,62.4125
12,Normal,0.99625,27.73125,52.45
01,Dry,0.47375,28.2,55.3375
02,Dry,0.6625,29.2625,57.025
03,Dry,0.51375,31.4,59.7375
04,Dry,0.21625,39.5625,71.075
05,Dry,0.03,49.625,81.9875
06,Dry,0.1725,57.55,90.85
07,Dry,0.95375,63.975,93.8375
08,Dry,1.1825,62.55,91.775
09,Dry,0.525,55.7,85.72500000000001
10,Dry,0.41875,45.5125,76.675
11,Dry,0.18125,36.6375,65.0875
12,Dry,0.39125000000000004,28.8375,55.95
01,Wet,1.5271428571428571,28.085714285714285,52.3
02,Wet,1.9557142857142857,29.628571428571426,53.84285714285714
03,Wet,0.49857142857142855,33.871428571428574,62.32857142857143
04,Wet,0.49,37.75714285714286,68.10000000000001
05,Wet,0.20142857142857143,45.18571428571428,75.88571428571429
06,Wet,0.20285714285714287,56.57142857142857,89.52857142857142
07,Wet,1.4385714285714286,63.05714285714286,93.54285714285714
08,Wet,1.53,61.94285714285714,90.4
09,Wet,0.6214285714285714,54.67142857142857,84.87142857142857
10,Wet,1.312857142857143,44.94285714285714,72.94285714285715
11,Wet,0.7957142857142857,32.22857142857143,59.82857142857143
12,Wet,2.057142857142857,27.114285714285714,52.08571428571428
